pilot;пилот
hospital;больница
estate;поместье
apartment;квартира
bakery;пекарня
temple;храм
church;церковь
dentist;зубной врач
doctor;доктор
nurse;няня
cup;чашка
cupboard;буфет
glass;стакан
plate;тарелка
saucepan;кастрюля
jug;кувшин
kettle;чайник
sink;тонуть
tap;постучать
telephone;телефон
knife;нож
plane;самолет
photographer;фотограф
reporter;репортер
postman;почтальон
cabbage;капуста
fork;вилка
spoon;ложка
waiter;официант
waitress;официантка
market;рынок
actor;актер
drugstore;аптека
pedestrian;пешеход
block;блок
bus;автобус
car;машина
stadium;стадион
street;улица
taxi;такси
tram;трамвай
underground;метрополитен
van;фургон
park;парк
boulevard;бульвар
truck;грузовик
bicycle;велосипед
train;поезд
coach;тренировать
fly;летать
